candidatename,party,age,gender,race,occupation,background,noofterms,currentconstituency,constituencycontesting,ready,leader,newcomer,bp1,bp2,bp3,dob,background2,ntuc,soleleader
Choo Shaun Ming,PSP,23,M,C,Law student,Law,0,N/A,Chua Chu Kang,Y,N,Y,Mr Choo Shaun Ming is an undergraduate student at the NUS Law Faculty.,He is the youngest candidate contesting this general election.,He is contesting an election for the first time.,,,,
Raeesah Khan,WP,27,F,M,Charity director,Charity_social service,0,N/A,Sengkang,Y,N,Y,"Ms Raeesah Khan is the founder and director of programmes at the Reyna Movement, which aims to empower marginalised women.",She has been in grassroots work for the WP.,She is contesting an election for the first time.,1993-11-09T16:00:00.000Z,,,
Sathin Ravindran,NSP,27,M,I,Business owner,Business,0,N/A,Sembawang,Y,N,Y,Mr Sathin Ravindran runs a business providing car detailing services.,,He is contesting an election for the first time.,,,,
Nicholas Tang,RDU,28,M,C,Legal engineer,Law,0,N/A,Jurong,Y,N,Y,"Mr Nicholas Tang is a legal engineer with law firm Pinsent Masons MPillay, where he develops technological solutions to help clients.",He is a trained lawyer.,He is contesting an election for the first time.,,,,
Terence Soon,PSP,29,M,C,Singapore Airlines pilot,Others,0,N/A,Tanjong Pagar,Y,N,Y,Mr Terence Soon is a pilot with Singapore Airlines.,He previously ran an aviation business which he started at the age of 23 while studying business management at RMIT University in Singapore.,He is contesting an election for the first time.,,,,
Nadia Ahmad Samdin,PAP,31,F,M,Lawyer,Law,0,N/A,Ang Mo Kio,Y,N,Y,Ms Nadia Ahmad Samdin is a lawyer and associate director at TSMP Law Corporation. She was briefly a current affairs producer with broadcaster CNA.,She is a district councillor at South East Community Development Council.,She is contesting an election for the first time.,1990-03-21T16:00:00.000Z,Media_PR_Marketing,,
Charles Yeo,RP,30,M,C,Lawyer,Law,0,N/A,Ang Mo Kio,Y,N,Y,"Mr Charles Yeo is a criminal defence lawyer. At the age of 12, he read a collection of RP founder J.B. Jeyaretnam's Parliament speeches. ",This inspired him to join the RP and he is now a member of the party's central executive committee. ,He is contesting an election for the first time.,,,,
Prabu Ramachandran,PV,32,M,I,Business development manager,Business,0,N/A,Pasir Ris-Punggol,Y,N,Y,Mr Prabu Ramachandran is a business development manager at Xingang Investment.,"He had planned to run as an independent candidate in 2015 to prevent any walkovers, but did not do so as all the seats were contested.",He is contesting an election for the first time.,,,,
Louis Chua ,WP,33,M,C,Equity research analyst,Banking_Finance_Investment,0,N/A,Sengkang,Y,N,Y,Mr Louis Chua is an equity research analyst at a global bank. He is a trained chartered accountant.,He was involved in grassroots work as well as parliamentary support work for the WP.,He is contesting an election for the first time.,1987-06-30T16:00:00.000Z,,,
Liyana Dhamirah,RDU,33,F,M,Entrepreneur and author,Business,0,N/A,Jurong,Y,N,Y,Ms Liyana Dhamirah is an entrepreneur and author. ,She is a mother of four who wrote a book about her experience as a homeless person.,She is contesting an election for the first time.,,,,
Hany Soh ,PAP,33,F,C,Lawyer,Law,0,N/A,Marsiling-Yew Tee,Y,N,Y,Ms Hany Soh is a lawyer and director at the firm MSC Law Corporation.,She has been volunteering in grassroots organisations in Bukit Panjang since 2011.,She is contesting an election for the first time.,1987,,,
Nicole Seah,WP,33,F,C,Associate director in marketing,Media_PR_Marketing,0,N/A,East Coast,Y,N,N,Ms Nicole Seah is an associate director at a multinational marketing group.,She entered politics in 2011 and was a candidate for the NSP.,"In GE2011, her NSP team lost with 43.4 per cent of the votes (59,926 votes) against a PAP team in Marine Parade GRC.",,,,
Muhammad Azhar ,WP,34,M,M,Small business owner,Business,0,N/A,Marine Parade,Y,N,Y,Mr Muhammad Azhar is a small business owner and a gig economy worker.,He was involved in grassroots work in the Kaki Bukit division of Aljunied GRC and in the now-dissolved Fengshan SMC.,He is contesting an election for the first time.,,,,
Kelvin Ong ,SDA,34,M,C,Operations manager,Others,0,N/A,Pasir Ris-Punggol,Y,N,Y,Mr Kelvin Ong is an operations manager in a facilities management firm.,,He is contesting an election for the first time.,,,,
Xie Yao Quan,PAP,36,M,C,Head of healthcare redesign at Alexandra Hospital,Healthcare,0,N/A,Jurong,Y,N,Y,Mr Xie Yao Quan is the head of healthcare redesign at Alexandra Hospital.,He is vice-chairman of the Jurong Spring Citizens Consultative Committee.,He is contesting an election for the first time.,1984-10-18T16:00:00.000Z,,,
Min Cheong,SDP,35,F,C,Communications professional,Media_PR_Marketing,0,N/A,Holland-Bukit Timah,Y,N,Y,Ms Min Cheong is a marketing and communications professional.,She started volunteering with the SDP in 2011 and joined its women's wing in 2019.,She is contesting an election for the first time.,,,,
Ron Tan ,WP,35,M,C,Contracts officer,Healthcare,0,N/A,Marine Parade,Y,N,N,Mr Ron Tan is a senior assistant manager at the National University Health System Research Office.,He entered politics in 2015.,"In GE2015, his team lost with 33.2 per cent of the votes (40,841 votes) against a PAP team in Nee Soon GRC. ",,,,
Edward Chia,PAP,36,M,C,Managing director of Timbre Group,Business,0,N/A,Holland-Bukit Timah,Y,N,Y,"Mr Edward Chia is the managing director of Timbre Group, which he co-founded.","He co-chairs the MCCY's SG Youth Action Plan panel with Ms Sim Ann, who is Senior Minister of State for Communications and Information, and Culture, Community and Youth.",He is contesting an election for the first time.,1984,,,
Nathaniel Koh ,WP,36,M,C,Digital product owner,IT and engineering,0,N/A,Marine Parade,Y,N,Y,Mr Nathaniel Koh  is a digital product owner at a multinational organisation.,He was on the executive committee of the WP Youth Wing and served as an election agent for the party in previous elections.,He is contesting an election for the first time.,,,,
Shawn Huang ,PAP,38,M,C,Director at Temasek Holdings,Police_Military,0,N/A,Jurong,Y,N,Y,Mr Shawn Huang is the director for enterprise development at Temasek Holdings. He is a former air force colonel.,He has been a community volunteer in Taman Jurong for 10 years.,He is contesting an election for the first time.,1982-07-17T16:00:00.000Z,,,
He Ting Ru,WP,37,F,C,Lawyer,Law,0,N/A,Sengkang,Y,Y,N,Ms He Ting Ru is a lawyer and head of legal and communications with a listed company.,She entered politics in 2015.,"In GE2015, her team lost with 35.9 per cent of the votes (47,753 votes) against a PAP team in Marine Parade GRC.",,,,
Khung Wai Yeen,SDP,37,M,C,Sales manager,Business,0,N/A,Marsiling-Yew Tee,Y,N,N,Mr Khung Wai Yeen is the area sales manager for Asia at Italian engine spares distribution firm Zephyr Trading.,He entered politics in 2015.,"In GE2015, he lost with 31.6 per cent of the votes (10,152 votes) against Dr Teo Ho Pin of the PAP in Bukit Panjang SMC.",,,,
Andy Zhu,RP,37,M,C,Marketing director,Real estate,0,N/A,Ang Mo Kio,Y,N,N,Mr Andy Zhu is a marketing director at a real estate agency.,He entered politics in 2011. He is the chairman of the RP.,"In GE2015, his team lost with 21.4 per cent of the votes (19,426 votes) to a PAP team in West Coast GRC.",,,,
Carrie Tan ,PAP,39,F,C,Director at a charity,Charity_social service,0,N/A,Nee Soon,Y,N,Y,"Ms Carrie Tan is the founder and executive director of charity Daughters of Tomorrow, which helps underprivileged women.",She is a grassroots volunteer in Nee Soon GRC.,She is contesting an election for the first time. ,1982-03-31T16:00:00.000Z,,,
Tan Chen Chen,WP,38,F,C,Contracts administrator,Others,0,N/A,Punggol West,Y,N,Y,Ms Tan Chen Chen is a contracts administrator and a quantity surveyor.,She has been a WP volunteer since 2015 and has been involved in Meet-the-People sessions and grassroots work.,She is contesting an election for the first time.,,,,
Vigneswari V. Ramachandran,PV,38,F,I,Pre-school teacher,Research and academia_Education,0,N/A,Pasir Ris-Punggol,Y,N,Y,Ms Vigneswari V. Ramachandran is a pre-school teacher at EtonHouse International.,,She is contesting an election for the first time.,,,,
Sharael Taha,PAP,39,M,M,Vice-president at Singapore Aero Engine Services,Business,0,N/A,Pasir Ris-Punggol,Y,N,Y,Mr Sharael Mohd Taha is vice-president of the project management office and strategy at Singapore Aero Engine Services.,He is a volunteer in the Pasir Ris East ward.,He is contesting an election for the first time.,1981,,,
Zhulkarnain Abdul Rahim,PAP,40,M,M,Lawyer,Law,0,N/A,Chua Chu Kang,Y,N,Y,Mr Zhulkarnain Abdul Rahim is a lawyer and partner in law firm Dentons Rodyk. ,He was previously the vice-chairman of the Association of Muslim Professionals.,He is contesting an election for the first time. ,1980-11-22T16:30:00.000Z,,,
Muhammad Fadli ,WP,39,M,M,Lawyer,Law,0,N/A,Marine Parade,Y,N,Y,Mr Muhammad Fadli is a lawyer and a former senior policy development officer with the Islamic Religious Council of Singapore (Muis).,He is a town councillor at the Aljunied-Hougang Town Council.,He is contesting an election for the first time.,,,,
Williiamson Lee,SPP,41,M,C,Businessman ,Business,0,N/A,Bishan-Toa Payoh,Y,N,Y,Mr Williiamson Lee is a businessman in the automobile industry.,"He is a long-time member of the SPP, having volunteered in former SPP leader Chiam See Tong's campaign in 2006 when he was 26.",He is contesting an election for the first time. ,1979-10-25T16:30:00.000Z,,,
Taufik Supan,PSP,41,M,M,IT professional,IT and engineering,0,N/A,Nee Soon,Y,N,Y,Mr Taufik Supan is an IT professional.,,He is contesting an election for the first time.,1980-04-29T16:30:00.000Z,,,
Rahayu Mahzam,PAP,40,M,C,Head of public policy and economics at LinkedIn,Research and academia_Education,0,N/A,Tanjong Pagar,Y,N,Y,Mr Alvin Tan is the head of public policy and economics for Asia-Pacific at LinkedIn. He previously worked at Facebook in a similar role.,He has been volunteering with the PAP since 2005.,He is contesting an election for the first time.,1980-06-29T16:30:00.000Z,,,
Melvyn Chiu,SPP,41,M,C,Business owner,Business,0,N/A,Bishan-Toa Payoh,Y,N,N,Mr Melvyn Chiu is the owner of a pet business.,He entered politics in 2015 as a member of the now-dissolved Singaporeans First party.,"In GE2015, his SingFirst team lost with 22.3 per cent of the votes (25,998 votes) against a PAP team in Tanjong Pagar GRC.",1979-10-25T16:30:00.000Z,,,
Spencer Ng ,NSP,40,M,C,Business consultant,Business,0,N/A,Sembawang,Y,Y,N,Mr Spencer Ng Chung Hon is a business consultant and a former teacher.,He entered politics in 2011. He is the secretary-general and second in command of the NSP.,"In GE2015, his team lost with 27.7 per cent of the votes (37,067 votes) against the PAP's Sembawang GRC team.",,,,
Eric Chua ,PAP,41,M,C,Former civil servant,Civil service,0,N/A,Tanjong Pagar,Y,N,Y,Mr Eric Chua is the former director of the SGSecure Programme Office under the Home Affairs Ministry.,He is chairman of the Cairnhill Community Club management committee under Tanjong Pagar GRC.,He is contesting an election for the first time.,1979,,,
Alex Yeo ,PAP,41,M,C,Lawyer,Law,0,N/A,Aljunied,Y,N,Y,Mr Alex Yeo is a lawyer and director at law firm Niru & Co.,He is chairman of the PAP's Paya Lebar branch and an adviser to Aljunied GRC grassroots organisations.,He is contesting an election for the first time.,1979,,,
Wan Rizal ,PAP,42,M,M,Lecturer,Research and academia_Education,0,N/A,Jalan Besar,Y,N,Y,Dr Wan Rizal Wan Zakariah is a sports science lecturer at Republic Polytechnic.,He has served in grassroots organisations in Pasir Ris and Punggol.,He is contesting an election for the first time.,1978-11-08T16:30:00.000Z,,,
Lim Cher Hong,PSP,42,M,C,Chartered financial consultant,Banking_Finance_Investment,0,N/A,Pioneer,Y,N,Y,Mr Lim Cher Hong is an author and chartered financial consultant.,He is a former programme coordinator and trainer at the Silver Generation Office under the Agency for Integrated Care.,He is contesting an election for the first time.,,,,
Don Wee,PAP,43,M,C,Banker,Banking_Finance_Investment,0,N/A,Chua Chu Kang,Y,N,Y,Mr Don Wee is a senior vice-president at United Overseas Bank. He sits on the Institute of Mental Health's Visitors' Board.,He is a grassroots leader in West Coast.,He is contesting an election for the first time.,Dec-76,,,
Kayla Low,PSP,43,F,C,Chartered accountant,Banking_Finance_Investment,0,N/A,Yio Chu Kang,Y,N,Y,Ms Kayla Low is a chartered accountant. ,"She is the chief financial and operating officer of Easy-Fly, a travel company catering to Chinese tourists.",She is contesting an election for the first time.,,,,
Mariam Jaafar,PAP,44,F,M,Consultant,Business,0,N/A,Sembawang,Y,N,Y,Ms Mariam Jaafar is a partner and managing director of Boston Consulting Group Singapore.,"She leads the telecommunications, media and technology practice and the financial
institutions practice at the firm.",She is contesting an election for the first time.,1977-02-07T16:30:00.000Z,,,
Tan Kiat How,PAP,43,M,C,Former civil servant,Civil service,0,N/A,East Coast,Y,N,Y,Mr Tan Kiat How was formerly the chief executive of the Infocomm Media Development Authority.,"He was part of the team that set up the Pioneer Generation Office, now known as the Silver
Generation Office.",He is contesting an election for the first time.,1977,,,
Yip Hon Weng,PAP,43,M,C,Former civil servant,Civil service,0,N/A,Yio Chu Kang,Y,N,Y,Mr Yip Hon Weng is the former group chief of the Silver Generation Office under the Agency for Integrated Care.,He was part of the team that established the Ageing Policy Office within the Health Ministry in 2011.,He is contesting an election for the first time.,1977,,,
Michael Fang Amin,PV,43,M,C,Medical administrator,Healthcare,0,N/A,Jalan Besar,Y,N,Y,Mr Michael Fang Amin is a medical administrator and entrepreneur.,,He is contesting an election for the first time.,,,,
Wendy Low,PSP,43,F,C,Lawyer,Law,0,N/A,Tanjong Pagar,Y,N,Y,Ms Wendy Low is a former partner at Rajah & Tann. She now leads the intellectual property advisory and dispute practice of Eldan Law. ,She has volunteered with the NGO Justice Without Borders and the Association of Women for Action and Research (Aware).,She is contesting an election for the first time.,,,,
Kenneth Foo ,WP,43,M,C,Deputy director of a charity,Charity_social service,0,N/A,East Coast,Y,N,N,Mr Kenneth Foo is the deputy director of the Singapore Cancer Society.,He entered politics in 2015.,"In GE2015, his team lost with 33.2 per cent of the votes (40,841 votes) against a PAP team in Nee Soon GRC. ",,,,
Bryan Lim ,SDP,43,M,C,Assistant director in a hospital,Healthcare,0,N/A,Marsiling-Yew Tee,Y,N,N,Mr Bryan Lim is an assistant director in the Division of Obstetrics & Gynaecology at KK Women's and Children's Hospital.,He entered politics in 2015.,"In GE2015, his team lost with 31.3 per cent of the votes (31,185 votes) against a PAP team in Marsiling-Yew Tee GRC.",,,,
Michelle Lee ,RDU,43,F,C,Private teacher and counsellor,Research and academia_Education,0,N/A,Jurong,Y,N,N,Ms Michelle Lee Juen is a private teacher and counsellor.,She is a former member of the SDP and entered politics in 2011. She was also previously a central executive committee member of the PSP.,"In GE2011, her SDP team lost with 39.9 per cent of the votes (32,406 votes) against a PAP team in Holland-Bukit Timah GRC.",,,,
Eugene Yeo,NSP,43,M,C,Business owner,Business,0,N/A,Tampines,Y,N,N,Mr Eugene Yeo is a business owner.,He entered politics in 2015.,"In GE2015, his team lost with 27.7 per cent of the votes (37,087 votes) against a PAP team in Sembawang GRC.",,,,
Poh Li San,PAP,45,F,C,Vice-president at Changi Airport Group,Business,0,N/A,Sembawang,Y,N,Y,Ms Poh Li San is vice-president for Terminal 5 planning and Changi East development at Changi Airport Group. She is a former helicopter pilot.,She is the vice-chairman of the Sembawang Citizens Consultative Committee.,She is contesting an election for the first time.,1975-11-18T16:30:00.000Z,Police_Military,,
Robin Low,SDP,44,M,C,Entrepreneur ,Business,0,N/A,Yuhua,Y,N,Y,Mr Robin Low is an entrepreneur who has started several businesses.,He has done community work in disaster relief with NGOs and organisations within the United Nations.,He is contesting an election for the first time.,,,,
Yeo Wan Ling,PAP,44,F,C,CEO of Caregiver Asia,Charity_social service,0,N/A,Pasir Ris-Punggol,Y,N,Y,"Ms Yeo Wan Ling is the chief executive of health and caregiving service aggregator CaregiverAsia, which she co-founded.",She is the vice-chairman of the Punggol North Citizens Consultative Committee.,She is contesting an election for the first time.,1976,,,
Chan Hui Yuh,PAP,44,F,C,Marketing director,Media_PR_Marketing,0,N/A,Aljunied,Y,N,Y,Ms Chan Hui Yuh is a marketing director at Jingslink Marketing.,She is chairman of the PAP's Serangoon branch and an adviser to Aljunied GRC grassroots organisations.,She is contesting an election for the first time.,1976,,,
Jamus Lim,WP,45,M,C,Economist,Research and academia_Education,0,N/A,Sengkang,Y,N,Y,Dr Jamus Lim is an associate professor of economics at ESSEC Business School.,He was involved in grassroots work as well as parliamentary support work for the WP.,He is contesting an election for the first time.,1976-01-19T16:30:00.000Z,,,
Dylan Ng ,WP,44,M,C,Director in a wealth advisory firm,Banking_Finance_Investment,0,N/A,East Coast,Y,Y,N,Mr Dylan Ng is a director in a wealth advisory firm.,He entered politics in 2015.,"In GE2015, his team lost with 35.9 per cent of the votes (47,753 votes) against a PAP team in Marine Parade GRC.",,,,
Choong Hon Heng,NSP,44,M,C,Business development director,Business,0,N/A,Tampines,Y,N,N,"Mr Choong Hon Heng is the chief executive of DCA Management, an asset management firm which he founded.",He entered politics in 2015.,"In GE2015, his team lost with 27.9 per cent of the votes (36,943 votes) against a PAP team in Tampines GRC.",,,,
Gan Siow Huang,PAP,46,F,C,Deputy chief executive of NTUC's e2i,Police_Military,0,N/A,Marymount,Y,N,Y,Ms Gan Siow Huang is the deputy chief executive of the NTUC's Employment and Employability Institute (e2i).,She was previously chief of staff in the air force and Singapore's first female general. She is also the chief commissioner of the Girl Guides.,She is contesting an election for the first time. ,1974-09-27T16:30:00.000Z,,Y,
Osman Sulaiman,SPP,45,M,M,Business owner,Business,0,N/A,Bishan-Toa Payoh,Y,N,N,Mr Osman Sulaiman is the owner of an interior design business.,He entered politics in 2011 and contested Ang Mo Kio GRC as an RP candidate.,"In GE2015, his RP team lost with 21.4 per cent of the votes (36,758 votes) against a PAP team in Ang Mo Kio GRC.",,,,
Rachel Ong ,PAP,47,F,C,CEO of Rohei Corp,Business,0,N/A,West Coast,Y,N,Y,Ms Rachel Ong is the chief executive of consultancy firm Rohei Corporation.,"She is the founder of Trybe, a charity that runs the Singapore Boys' Hostel and the Community Rehabilitation Centre for first-time drug abusers.",She is contesting an election for the first time.,1972,Charity_social service,,
Mohd Fahmi Aliman,PAP,47,M,M,Director at NTUC,Police_Military,0,N/A,Marine Parade,Y,N,Y,"Mr Mohd Fahmi Aliman, a former army colonel, was previously the deputy chief executive of Muis. ",He is a director at the NTUC Administration and Research Unit.,He is contesting an election for the first time. ,1972,,Y,
Vincent Ng,NSP,48,M,C,Broker recruiter,Banking_Finance_Investment,0,N/A,Tampines,Y,N,Y,Mr Vincent Ng is a recruiter for a brokerage.,,He is contesting an election for the first time.,,,,
Ng Ling Ling,PAP,48,F,C,Former public servant,Healthcare,0,N/A,Ang Mo Kio,Y,N,Y,Ms Ng Ling Ling is an independent senior consultant at the Ministry of Health's Office for Healthcare Transformation.,She was previously the managing director of the Community Chest.,She is contesting an election for the first time. ,1972,Charity_social service,,
Jose Raymond,SPP,48,M,I,Chief strategy officer at Spin Worldwide,Media_PR_Marketing,0,N/A,Potong Pasir,Y,N,Y,Mr Jose Raymond is the chief strategy officer at communications firm Spin Worldwide. He is a former journalist.,He joined the SPP in 2017 and is currently its chairman.,He is contesting an election for the first time.,,,,
Harminder Pal Singh,SDA,48,M,I,CEO of a coaching company,Business,0,N/A,Pasir Ris-Punggol,Y,N,N,"Mr Harminder Pal Singh is the founder and chief executive of Helping People Succeed, a personal coaching company.",He is the chief media officer of the SDA and is expected to take over the party after the election.,"In GE2015, his team lost with 27.1 per cent of the votes (46,550 votes) against a PAP team in Pasir Ris-Punggol GRC.",,,,
Shamsul Kamar,PAP,48,M,M,Executive director of the Centre for Domestic Employees,Charity_social service,0,N/A,Aljunied,Y,N,N,Mr Shamsul Kamar is the executive director of the Centre for Domestic Employees. He is also a trade unionist and a former teacher.,He is chairman of the PAP's Kaki Bukit branch and an adviser to grassroots organisations in Aljunied.,"In GE2015, his team lost with 49.1 per cent of the votes (67,317 votes) against the WP's Aljunied GRC team led by Mr Low Thia Khiang.",,Research and academia_Education,Y,
Kumaran Pillai,PSP,49,M,I,Start-up consultant,Business,0,N/A,Kebun Baru,Y,N,Y,Mr Kumaran Pillai runs a consultancy to develop start-ups.,"He is the former publisher of The Independent Singapore, an alternative media site.",He is contesting an election for the first time.,,,,
Nor Azlan Sulaiman,PV,49,M,M,Director at Halal Sciences Academy,Others,0,N/A,Jalan Besar,Y,N,Y,Mr Nor Azlan Sulaiman is a director at the Halal Sciences Academy which certifies halal items.,,He is contesting an election for the first time.,1971-07-07T16:30:00.000Z,,,
Terence Tan,WP,49,M,C,Lawyer,Law,0,N/A,East Coast,Y,N,N,Mr Terence Tan is a lawyer and director at the firm Robertson Chambers.,He entered politics in 2015.,"In GE2015, his team lost with 35.9 per cent of the votes (47,753 votes) against a PAP team in Marine Parade GRC.",1971-06-29T16:30:00.000Z,,,
Damanhuri Abas,SDP,49,M,M,Education consultant,Education,0,N/A,Marsiling-Yew Tee,Y,Y,N,Mr Damanhuri Abas is an education consultant.,He entered politics in 2015.,"In GE2015, his team lost with 31.3 per cent of the votes (31,185 votes) against a PAP team in Marsiling-Yew Tee GRC.",,,,
Chua Eng Leong,PAP,49,M,C,Banker,Banking_Finance_Investment,0,N/A,Aljunied,Y,N,N,Mr Chua Eng Leong is a private banker. He is the son of former Cabinet minister Chua Sian Chin.,He is chairman of the PAP's Eunos branch and an adviser to Aljunied GRC grassroots organisations.,"In GE2015, his team lost with 49.1 per cent of the votes (67,317 votes) against the WP's Aljunied GRC team led by Mr Low Thia Khiang.",,,,
